name	variety	region	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	tags	sources
Asparagus		Qld	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Asparagus		SA									yes	maybe			vegetable	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Asparagus		Vic										yes	yes	yes	vegetable	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Asparagus		WA									yes	yes	yes		vegetable	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Avocados		AU	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	https://www.frugalandthriving.com.au/seasonal-eating/
Avocados		NSW	yes	yes		yes	yes	yes	yes	yes		yes	yes		fruit	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Avocados		SA	yes	yes				yes	yes	yes	yes	yes	yes	yes	fruit	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Avocados		Vic	yes	yes								yes	yes	yes	fruit	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Avocados		WA	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	fruit	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Bananas		AU	yes	yes	yes	yes	yes						yes	yes	fruit	https://www.frugalandthriving.com.au/seasonal-eating/
Bananas		NSW	yes		yes	yes	yes	yes	yes	yes		yes	yes	yes	fruit	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Bananas		Qld	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	fruit	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Bananas		WA	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	fruit	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Beans		AU	yes	yes	yes						yes	yes	yes	yes	vegetable	https://www.frugalandthriving.com.au/seasonal-eating/
Beans		SA	maybe	yes											vegetable	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Beans		Vic	yes	yes	yes	yes	yes						yes	yes	vegetable	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Beans (broad)		NSW									yes	yes			vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Beans (broad)		Qld	yes	yes										yes	vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Beans (broad)		SA									yes	yes	yes		vegetable	https://adelaidecentralmarket.com.au/in-season-spring/
Beans (broad)		Vic											yes	yes	vegetable	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Beans (broad)		WA	yes	yes										yes	vegetable	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Beans (butter)		NSW	yes	yes										yes	vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Beans (butter)		SA	yes	yes										yes	vegetable	https://adelaidecentralmarket.com.au/in-season-summer/
Beans (flat)		NSW	yes	yes										yes	vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Beans (flat)		Qld	yes	yes										yes	vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Beans (green)		NSW	yes	yes	yes	yes					yes	yes	yes	yes	vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Beans (green)		Qld	yes	yes										yes	vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Beans (green)		WA	yes	yes	yes	yes	yes				yes	yes	yes	yes	vegetable	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Beans (snake)		NSW		yes											vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Beans (snake)		NT	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	https://nt.gov.au/environment/home-gardens/growing-vegetables-at-home
Beans (snake)		SA	yes	yes										yes	vegetable	https://adelaidecentralmarket.com.au/in-season-summer/
Beans (string)		WA	yes	yes										yes	vegetable	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Beetroots		AU				yes	yes	yes	yes	yes					vegetable	https://www.frugalandthriving.com.au/seasonal-eating/
Beetroots		NSW						yes	yes	yes	yes	yes			vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Beetroots		Qld	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Beetroots		SA	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Beetroots		Vic				yes		yes	yes	yes	yes	yes	yes	yes	vegetable	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Beetroots		WA	yes	yes	yes	yes	yes	yes	yes	yes				yes	vegetable	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Berries		AU	yes	yes	yes									yes	fruit	https://www.frugalandthriving.com.au/seasonal-eating/
Blackberries		NSW	yes											yes	fruit	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Blackberries		Qld	yes	yes										yes	fruit	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Blackberries		SA	yes	yes	yes	yes	yes							yes	fruit	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Blackberries		Vic	yes	yes	yes										fruit	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Blood oranges		NSW								yes	yes				fruit	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Blood oranges		SA									yes	yes	yes		fruit	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Blood oranges		Vic							yes	yes	yes				fruit	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Blueberries		NSW	yes	yes								yes	yes	yes	fruit	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Blueberries		Qld	yes	yes	yes	yes	yes				yes	yes	yes	yes	fruit	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Blueberries		SA	yes	yes										yes	fruit	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Blueberries		Vic	yes										yes	yes	fruit	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Blueberries		WA									yes	yes	yes		fruit	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Bok choy		NSW			yes	yes	yes								vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Bok choy		SA	yes	yes				yes	yes	yes	yes	yes	yes	yes	vegetable	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Boysenberries		Vic	yes	yes											fruit	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Breadfruit		Qld			yes	yes	yes	yes	yes	yes					vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Broccoflowers		Qld	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Broccoli		AU				yes	yes	yes	yes	yes	yes	yes			vegetable	https://www.frugalandthriving.com.au/seasonal-eating/
Broccoli		NSW			yes	yes	yes	yes	yes	yes	yes				vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Broccoli		Qld	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Broccoli		SA	maybe		yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Broccoli		Vic				yes	yes	yes	yes	yes	yes	yes		yes	vegetable	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Broccoli		WA	yes	yes	yes	yes	yes	yes	yes	yes				yes	vegetable	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Broccolini		WA	yes	yes	yes	yes	yes	yes	yes	yes				yes	vegetable	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Brussels sprouts		AU				yes	yes	yes	yes	yes					vegetable	https://www.frugalandthriving.com.au/seasonal-eating/
Brussels sprouts		NSW				yes	yes	yes	yes	yes					vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Brussels sprouts		Qld			yes	yes	yes	yes	yes	yes					vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Brussels sprouts		SA			yes	yes	yes	yes	yes	yes					vegetable	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Brussels sprouts		Vic						yes	yes	yes	yes	yes			vegetable	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Brussels sprouts		WA			yes	yes	yes	yes	yes	yes					vegetable	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Cabbages		AU				yes	yes	yes	yes	yes	yes				vegetable	https://www.frugalandthriving.com.au/seasonal-eating/
Cabbages		NSW				yes	yes	yes	yes	yes		yes	yes		vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Cabbages		Qld	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Cabbages		SA	maybe		yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Cabbages		Vic	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Cabbages		WA			yes	yes	yes	yes	yes	yes	yes	yes	yes		vegetable	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Capsicums		AU	yes	yes	yes									yes	vegetable	https://www.frugalandthriving.com.au/seasonal-eating/
Capsicums		NSW	yes	yes	yes	yes								yes	vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Capsicums		NT	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	https://nt.gov.au/environment/home-gardens/growing-vegetables-at-home
Capsicums		Qld	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Capsicums		SA			yes	yes	yes								vegetable	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Capsicums		Vic	yes	yes	yes	yes	yes							yes	vegetable	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Capsicums		WA	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Carrots		AU				yes	yes	yes	yes	yes	yes				vegetable	https://www.frugalandthriving.com.au/seasonal-eating/
Carrots		NSW					yes	yes	yes	yes	yes				vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Carrots		Qld	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Carrots		SA	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Carrots		Vic	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Carrots		WA	yes	yes	yes	yes	yes	yes	yes	yes				yes	vegetable	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Cauliflowers		AU				yes	yes	yes	yes	yes	yes				vegetable	https://www.frugalandthriving.com.au/seasonal-eating/
Cauliflowers		NSW				yes	yes	yes	yes	yes	yes				vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Cauliflowers		Qld	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Cauliflowers		SA	maybe		yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Cauliflowers		Vic						yes	yes	yes	yes	yes	yes	yes	vegetable	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Cauliflowers		WA			yes	yes	yes	yes	yes	yes	yes	yes	yes		vegetable	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Celeriac		AU						yes	yes	yes					vegetable	https://www.frugalandthriving.com.au/seasonal-eating/
Celeriac		NSW					yes	yes	yes	yes					vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Celeriac		Qld	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Celeriac		SA			yes	yes	yes	yes	yes	yes					vegetable	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Celeriac		Vic						yes	yes	yes	yes	yes			vegetable	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Celery		AU	yes	yes	yes	yes	yes	yes	yes	yes				yes	vegetable	https://www.frugalandthriving.com.au/seasonal-eating/
Celery		NSW	yes	yes			yes	yes	yes	yes				yes	vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Celery		Qld	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Celery		SA	maybe		yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Celery		Vic	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes			vegetable	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Celery		WA	yes	yes	yes	yes	yes	yes	yes	yes				yes	vegetable	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Cherries		AU	yes										yes	yes	fruit	https://www.frugalandthriving.com.au/seasonal-eating/
Cherries		NSW	yes										yes	yes	fruit	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Cherries		Qld	yes	yes				yes	yes	yes				yes	fruit	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Cherries		SA	maybe											yes	fruit	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Cherries		Vic	yes	yes									yes	yes	fruit	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Cherries		WA	yes	yes							yes	yes	yes	yes	fruit	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Chestnuts		NSW			yes	yes	yes								nut	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Chestnuts		SA			yes	yes	yes	yes	yes	yes					nut	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Chestnuts		Vic			yes	yes	yes		yes	yes					nut	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Chicory		SA			yes	yes	yes	yes	yes	yes					vegetable	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Chillies		AU		yes	yes										vegetable	https://www.frugalandthriving.com.au/seasonal-eating/
Chillies		NSW									yes	yes	yes		vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Chillies		NT	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	https://nt.gov.au/environment/home-gardens/growing-vegetables-at-home
Chillies		Qld	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Chillies		Vic		yes	yes	yes	yes							yes	vegetable	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Chinese cabbage		Qld	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Chinese spinach		Qld	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Chokos		AU	yes	yes								yes	yes	yes	vegetable	https://www.frugalandthriving.com.au/seasonal-eating/
Chokos		NSW		yes											vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Chokos		Qld	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Choy sum		SA	yes	yes				yes	yes	yes	yes	yes	yes	yes	vegetable	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Cocoa		NT	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	fruit	https://nt.gov.au/environment/home-gardens/growing-vegetables-at-home
Coconuts		Qld	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	fruit	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Corn		SA	maybe	yes											vegetable	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Corn		Vic	yes												vegetable	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Cucumbers		AU	yes	yes	yes							yes	yes	yes	vegetable	https://www.frugalandthriving.com.au/seasonal-eating/
Cucumbers		NSW	yes	yes	yes							yes	yes	yes	vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Cucumbers		Qld	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Cucumbers		Vic	yes	yes	yes	yes	yes						yes	yes	vegetable	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Cucumbers		WA	yes	yes							yes	yes	yes	yes	vegetable	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Cumquats		NSW								yes					fruit	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Cumquats		Qld			yes	yes	yes								fruit	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Cumquats		SA				maybe	yes	yes	yes	yes	yes	yes			fruit	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Cumquats		Vic				yes	yes	yes	yes	yes	yes	yes			fruit	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Currants		AU	yes											yes	fruit	https://www.frugalandthriving.com.au/seasonal-eating/
Currants	Red & White	NSW												yes	fruit	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Currants		Vic	yes											yes	fruit	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Custard apples		NSW				yes	yes	yes	yes						fruit	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Custard apples		Qld			yes	yes	yes	yes	yes	yes	yes	yes	yes		fruit	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Custard apples		SA						yes	yes	yes					fruit	https://adelaidecentralmarket.com.au/in-season-winter/
Daikons		AU		yes											vegetable	https://www.frugalandthriving.com.au/seasonal-eating/
Daikons		Qld	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Daikons		SA						yes	yes	yes					vegetable	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Daikons		Vic		yes	yes	yes	yes		yes	yes	yes	yes			vegetable	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Dates		NSW			yes	yes	yes	yes	yes						fruit	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Dates		Qld	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	fruit	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Dragonfruit		NSW				yes									fruit	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Dragonfruit		NT	yes	yes	yes						yes	yes	yes	yes	fruit	https://nt.gov.au/environment/home-gardens/growing-vegetables-at-home
Dragonfruit		Qld	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	fruit	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Durian		NT	yes	yes									yes	yes	fruit	https://nt.gov.au/environment/home-gardens/growing-vegetables-at-home
Eggplants		AU	yes	yes	yes	yes	yes							yes	vegetable	https://www.frugalandthriving.com.au/seasonal-eating/
Eggplants		NSW	yes	yes	yes	yes	yes							yes	vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
Eggplants		Qld	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Eggplants		SA			yes	yes	yes	yes	maybe						vegetable	https://adelaidefarmersmarket.com.au/food-and-produce/seasonal-produce-guide/
Eggplants		Vic	yes	yes	yes	yes	yes								vegetable	https://vfma.org.au/site/Site/For-market-shoppers.aspx
Eggplants		WA	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	https://livelighter.com.au/eating-well/healthy-eating/fruit-and-veg/in-season/in-seasonwa
Endives		Qld	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	vegetable	http://seasonalfoodguide.com/brisbane-queensland-seasonal-fresh-produce-guide-fruits-vegetables-in-season-availability-australia.html
Eschallots		NSW			yes	yes									vegetable	https://www.sydneymarkets.com.au/markets/produce-market/whats-in-season/spring-2020.html
